,DATE,COUNTRY,TRANSACTIONS,ARRIVALS,LHR_arrivals,non_LHR_arrivals,premium_economy_and_above_arrivals,business_and_above_arrivals,first_arrivals,transactions_non_target,transactions_target,transactions_bronze_and_above,transactions_gold_and_above,transactions_black_and_above,transactions_platinum_and_above,transactions_elite_and_above
499,2023-12-25,RO APAC,2844,45083,34527,10556,8679,5872,204,733.0,2111.0,2003,1500,974,275,91
500,2024-01-01,EU,4358,253329,66514,186815,5531,2503,0,2122.0,2236.0,2090,1430,954,243,30
501,2024-01-01,Greater China,8974,4681,3858,823,646,380,11,2526.0,6448.0,6716,5558,3092,1163,129
502,2024-01-01,Middle East - GCC,22228,16823,15089,1734,3449,2830,221,4775.0,17453.0,16817,13160,9060,3130,900
503,2024-01-01,North America,3567,57273,53733,3540,13841,7628,170,1542.0,2025.0,1835,1244,744,177,29
504,2024-01-01,RO APAC,5106,30018,20731,9287,5038,3376,120,1935.0,3171.0,2988,2195,1294,357,84
505,2024-01-08,EU,2673,224145,41809,182336,3679,2209,8,803.0,1870.0,1840,1330,933,310,113
506,2024-01-08,Greater China,4466,5662,5109,553,935,586,11,1003.0,3463.0,3797,3287,2486,1041,139
507,2024-01-08,Middle East - GCC,14738,10319,8967,1352,2632,2302,219,2654.0,12084.0,12305,9623,6851,2304,606
508,2024-01-08,North America,1884,31326,27423,3903,8358,5078,166,717.0,1167.0,1274,884,516,148,8
509,2024-01-08,RO APAC,2650,24574,15775,8799,3935,3017,130,626.0,2024.0,2051,1651,1188,507,95
510,2024-01-15,EU,2538,220029,51590,168439,3732,2919,12,613.0,1925.0,1947,1527,1124,263,40
511,2024-01-15,Greater China,4945,6379,5586,793,1327,742,11,1071.0,3874.0,4259,3540,2725,1171,155
512,2024-01-15,Middle East - GCC,8830,12686,11444,1242,2984,2441,211,1193.0,7637.0,7853,6460,4767,1689,386
513,2024-01-15,North America,1962,46334,42205,4129,11410,6716,174,453.0,1509.0,1439,1079,712,145,15
514,2024-01-15,RO APAC,1784,29096,20006,9090,5177,3737,135,393.0,1391.0,1432,1194,918,361,58
515,2024-01-22,EU,2375,215058,56081,158977,4222,3191,2,554.0,1821.0,1842,1418,1125,283,27
516,2024-01-22,Greater China,4057,9042,7732,1310,1175,690,19,845.0,3212.0,3565,3064,2314,946,122
517,2024-01-22,Middle East - GCC,7021,15035,13526,1509,3507,2824,301,1053.0,5968.0,6171,5233,3984,1378,335
518,2024-01-22,North America,1551,44933,41333,3600,11887,7426,205,371.0,1180.0,1189,907,562,131,18
519,2024-01-22,RO APAC,1748,29541,20166,9375,5172,3696,114,331.0,1417.0,1391,1190,863,281,33
520,2024-01-29,EU,3296,197601,61599,136002,4763,3627,6,1130.0,2166.0,2292,1732,1239,316,41
521,2024-01-29,Greater China,5658,10031,8708,1323,1314,824,18,1298.0,4360.0,4860,4159,3148,1385,131
522,2024-01-29,Middle East - GCC,8523,15007,13351,1656,3389,2765,249,2091.0,6432.0,6761,5353,3862,1351,349
523,2024-01-29,North America,1974,40981,37933,3048,11369,7202,167,611.0,1363.0,1394,1048,756,188,51
524,2024-01-29,RO APAC,2013,27314,19354,7960,5156,3681,131,487.0,1526.0,1577,1318,1058,450,66
525,2024-02-05,EU,2304,247418,65040,182378,5334,4055,12,470.0,1834.0,1847,1524,1181,312,42
526,2024-02-05,Greater China,4220,10469,9375,1094,1673,1104,25,952.0,3268.0,3749,3261,2566,1132,122
527,2024-02-05,Middle East - GCC,6620,13132,11144,1988,3184,2589,257,1251.0,5369.0,5697,4620,3438,1127,269
528,2024-02-05,North America,1468,44935,42073,2862,12406,7902,214,403.0,1065.0,1104,842,564,158,45
529,2024-02-05,RO APAC,1359,31311,21252,10059,5546,3931,161,268.0,1091.0,1123,942,702,277,51
530,2024-02-12,EU,2581,275987,72561,203426,4934,3512,6,636.0,1945.0,2003,1591,1165,301,23
531,2024-02-12,Greater China,4511,16233,14451,1782,2650,1678,31,1004.0,3507.0,3930,3371,2484,927,173
532,2024-02-12,Middle East - GCC,6516,13730,11642,2088,3139,2532,279,983.0,5533.0,5821,4982,3825,1413,405
533,2024-02-12,North America,1407,47695,44279,3416,9660,5812,159,387.0,1020.0,1076,786,567,127,14
534,2024-02-12,RO APAC,1507,33701,22545,11156,5036,3565,139,309.0,1198.0,1254,1042,794,345,49
535,2024-02-19,EU,2329,239317,63862,175455,4631,3255,2,606.0,1723.0,1780,1377,1015,208,21
536,2024-02-19,Greater China,4341,5663,4814,849,876,603,17,1004.0,3337.0,3791,3175,2413,899,99
537,2024-02-19,Middle East - GCC,6848,11217,9499,1718,3261,2740,325,1098.0,5750.0,6120,5194,3956,1365,302
538,2024-02-19,North America,1496,48109,43902,4207,13603,8032,246,436.0,1060.0,1084,833,615,179,2
539,2024-02-19,RO APAC,1520,29183,19875,9308,5086,3787,155,302.0,1218.0,1241,1073,825,324,49
540,2024-02-26,EU,2413,234656,66796,167860,5287,3879,1,583.0,1830.0,1870,1414,1108,309,16
541,2024-02-26,Greater China,3970,4275,3678,597,661,485,21,862.0,3108.0,3577,3063,2406,1023,140
542,2024-02-26,Middle East - GCC,9113,16517,14579,1938,5105,4331,590,1536.0,7577.0,7998,6625,4942,1755,384
543,2024-02-26,North America,1724,46747,42305,4442,13655,8694,254,535.0,1189.0,1237,903,635,137,12
544,2024-02-26,RO APAC,1436,28022,19101,8921,5684,4320,146,324.0,1112.0,1185,1037,793,273,59
545,2024-03-04,EU,2462,236172,65378,170794,5024,3728,4,602.0,1860.0,1919,1523,1201,350,27
546,2024-03-04,Greater China,3275,5051,4305,746,657,446,12,640.0,2635.0,2956,2665,2050,903,116
547,2024-03-04,Middle East - GCC,10112,12977,11073,1904,3507,2976,394,1902.0,8210.0,8857,7274,5439,1917,385
548,2024-03-04,North America,1550,51780,47632,4148,14433,8646,185,498.0,1052.0,1184,892,591,113,6
549,2024-03-04,RO APAC,1491,29664,20323,9341,5779,4381,176,316.0,1175.0,1286,1125,768,227,19
550,2024-03-11,EU,2683,250893,66453,184440,5485,3998,8,586.0,2097.0,2103,1668,1212,362,37
551,2024-03-11,Greater China,3306,5402,4801,601,790,551,10,723.0,2583.0,2945,2603,2071,964,97
552,2024-03-11,Middle East - GCC,6744,8711,6963,1748,1947,1583,183,1189.0,5555.0,5971,5073,3875,1577,411
553,2024-03-11,North America,1867,69150,63761,5389,19561,11125,220,471.0,1396.0,1432,1101,711,136,15
554,2024-03-11,RO APAC,1490,31957,22414,9543,6153,4598,161,304.0,1186.0,1252,1127,823,350,80
555,2024-03-18,EU,2547,237540,67242,170298,5393,3885,8,621.0,1926.0,1955,1522,1178,323,22
556,2024-03-18,Greater China,3778,5236,4736,500,663,480,11,646.0,3132.0,3417,3079,2357,1135,168
557,2024-03-18,Middle East - GCC,2791,9499,7833,1666,1446,1107,97,394.0,2397.0,2529,2203,1790,796,199
558,2024-03-18,North America,1789,64434,60211,4223,18139,10342,173,630.0,1159.0,1243,958,635,138,6
559,2024-03-18,RO APAC,1573,32159,22550,9609,6082,4361,158,301.0,1272.0,1313,1124,866,301,89
560,2024-03-25,EU,2638,223785,73822,149963,6430,3923,3,604.0,2034.0,2073,1602,1197,303,9
561,2024-03-25,Greater China,3637,8179,7383,796,982,658,9,807.0,2830.0,3209,2820,2230,940,114
562,2024-03-25,Middle East - GCC,2457,11229,9437,1792,1677,1158,67,306.0,2151.0,2298,2047,1594,707,126
563,2024-03-25,North America,1775,72147,67334,4813,18411,9724,115,605.0,1170.0,1279,930,613,148,31
564,2024-03-25,RO APAC,1419,34213,25057,9156,6090,4182,123,283.0,1136.0,1179,959,700,232,26
565,2024-04-01,EU,2135,209388,69740,139648,5510,2919,4,504.0,1631.0,1595,1305,1052,325,18
566,2024-04-01,Greater China,2939,8959,8075,884,1002,627,14,598.0,2341.0,2652,2326,1811,745,142
567,2024-04-01,Middle East - GCC,2184,11271,9445,1826,1605,1001,63,330.0,1854.0,1997,1815,1418,655,143
568,2024-04-01,North America,1497,69901,64979,4922,15205,7719,146,589.0,908.0,1104,825,571,89,9
569,2024-04-01,RO APAC,1363,32863,21501,11362,5172,3414,107,343.0,1020.0,1096,948,723,267,38
570,2024-04-08,EU,2220,277769,70286,207483,4527,2972,10,610.0,1610.0,1674,1317,963,304,24
571,2024-04-08,Greater China,3157,5659,4926,733,940,635,15,719.0,2438.0,2804,2460,1923,932,143
572,2024-04-08,Middle East - GCC,2906,16300,13992,2308,3223,2479,251,462.0,2444.0,2584,2247,1787,848,114
573,2024-04-08,North America,1661,66104,61091,5013,16273,9382,257,554.0,1107.0,1225,862,556,170,26
574,2024-04-08,RO APAC,1482,49335,27054,22281,7325,5332,222,372.0,1110.0,1182,990,738,297,66
575,2024-04-15,EU,2322,263552,64774,198778,5419,3697,4,490.0,1832.0,1791,1438,1149,287,18
576,2024-04-15,Greater China,2958,4639,3909,730,1021,720,14,600.0,2358.0,2682,2320,1923,843,138
577,2024-04-15,Middle East - GCC,7538,14306,12475,1831,4127,3476,383,1376.0,6162.0,6665,5448,3855,1377,312
578,2024-04-15,North America,1634,65437,59595,5842,18925,10990,268,458.0,1176.0,1234,907,609,127,36
579,2024-04-15,RO APAC,1904,42167,22675,19492,7330,5713,238,506.0,1398.0,1530,1333,1000,332,52
580,2024-04-22,EU,2224,278381,75264,203117,5807,4053,5,597.0,1627.0,1700,1333,1002,274,17
581,2024-04-22,Greater China,2751,6746,5839,907,1240,809,13,591.0,2160.0,2464,2130,1652,730,124
582,2024-04-22,Middle East - GCC,7539,12388,10523,1865,3515,2982,317,1332.0,6207.0,6745,5529,4102,1478,403
583,2024-04-22,North America,1846,81811,75040,6771,23988,13031,222,532.0,1314.0,1397,1049,757,147,43
584,2024-04-22,RO APAC,1831,47296,27471,19825,8493,6247,248,437.0,1394.0,1517,1298,996,285,36
585,2024-04-29,EU,3315,286834,78822,208012,6133,4147,6,1268.0,2047.0,2043,1691,1216,311,15
586,2024-04-29,Greater China,4573,9979,8481,1498,1496,939,13,1036.0,3537.0,3918,3445,2712,1190,215
587,2024-04-29,Middle East - GCC,7880,14383,12587,1796,3491,2931,357,1679.0,6201.0,6656,5532,4114,1474,377
588,2024-04-29,North America,2673,70108,63838,6270,20066,10941,214,1219.0,1454.0,1639,1229,850,192,84
589,2024-04-29,RO APAC,2629,46962,28700,18262,8887,6168,259,854.0,1775.0,1982,1739,1380,513,158
590,2024-05-06,EU,2604,304308,75293,229015,5185,3543,9,694.0,1910.0,1946,1494,1208,326,21
591,2024-05-06,Greater China,3841,10367,8773,1594,1504,1050,21,841.0,3000.0,3408,2950,2353,915,134
592,2024-05-06,Middle East - GCC,6427,14680,12703,1977,3359,2739,309,1175.0,5252.0,5616,4693,3525,1322,379
593,2024-05-06,North America,1815,81705,72046,9659,22001,11623,186,580.0,1235.0,1322,1064,756,118,29
594,2024-05-06,RO APAC,1950,55226,32675,22551,9803,6805,261,530.0,1420.0,1586,1331,967,546,281
595,2024-05-13,EU,2362,293923,77579,216344,7731,4180,5,642.0,1720.0,1732,1415,1068,394,43
596,2024-05-13,Greater China,4399,9927,8690,1237,1508,1093,17,1086.0,3313.0,3848,3224,2458,1054,138
597,2024-05-13,Middle East - GCC,6702,15426,13537,1889,4080,3440,372,1175.0,5527.0,5769,4818,3863,1399,404
598,2024-05-13,North America,2156,84402,74390,10012,25081,14172,211,764.0,1392.0,1511,1163,810,216,41
599,2024-05-13,RO APAC,2012,55968,33651,22317,10848,7610,302,554.0,1458.0,1593,1358,1046,397,119
600,2024-05-20,EU,2465,285443,73235,212208,6700,4331,10,638.0,1827.0,1883,1571,1193,391,57
601,2024-05-20,Greater China,4296,10813,9062,1751,1671,1205,21,1029.0,3267.0,3716,3178,2503,1161,132
602,2024-05-20,Middle East - GCC,7007,15392,13348,2044,3861,3230,339,1396.0,5611.0,5901,4938,3892,1580,481
603,2024-05-20,North America,2223,90478,80321,10157,27184,15339,346,842.0,1381.0,1539,1159,809,259,39
604,2024-05-20,RO APAC,2021,61259,38333,22926,12084,8345,311,618.0,1403.0,1621,1277,947,424,162
605,2024-05-27,EU,2488,274720,70565,204155,6126,3669,10,624.0,1864.0,1968,1522,1157,275,12
606,2024-05-27,Greater China,4025,10611,9272,1339,1630,1142,27,935.0,3090.0,3548,3062,2386,1033,183
607,2024-05-27,Middle East - GCC,6582,15765,13800,1965,3345,2789,285,1149.0,5433.0,5749,4877,3705,1329,350
608,2024-05-27,North America,2071,93944,83150,10794,24783,13083,186,766.0,1305.0,1486,1176,811,201,69
609,2024-05-27,RO APAC,2567,62082,36998,25084,11025,7499,348,737.0,1830.0,2200,1945,1520,637,247
610,2024-06-03,EU,3110,276230,68170,208060,7782,4855,3,1114.0,1996.0,2108,1625,1220,308,22
611,2024-06-03,Greater China,4994,9792,8248,1544,1666,1205,26,1139.0,3855.0,4337,3796,2880,1420,251
612,2024-06-03,Middle East - GCC,8059,16040,14109,1931,4137,3578,405,1733.0,6326.0,6899,5746,4394,1527,373
613,2024-06-03,North America,2863,83428,72715,10713,26795,15387,205,1127.0,1736.0,1863,1375,1000,263,60
614,2024-06-03,RO APAC,3160,59006,36098,22908,12153,8761,377,852.0,2308.0,2407,2041,1590,562,114
615,2024-06-10,EU,2456,268110,67123,200987,5655,3642,1,544.0,1912.0,1958,1561,1175,342,21
616,2024-06-10,Greater China,4075,11847,9791,2056,1719,1224,29,900.0,3175.0,3606,3165,2559,1160,169
617,2024-06-10,Middle East - GCC,6508,21411,19115,2296,4756,3972,425,1167.0,5341.0,5774,4951,3983,1456,295
618,2024-06-10,North America,2323,101422,89437,11985,30601,16875,258,864.0,1459.0,1705,1272,867,233,41
619,2024-06-10,RO APAC,2476,64421,41067,23354,12679,8875,349,575.0,1901.0,2093,1794,1309,509,96
620,2024-06-17,EU,2567,278270,68979,209291,6438,4263,-4,575.0,1992.0,1950,1546,1118,317,12
621,2024-06-17,Greater China,3931,11412,9388,2024,1994,1402,25,933.0,2998.0,3548,3106,2518,1161,180
622,2024-06-17,Middle East - GCC,8500,35391,31700,3691,7286,5687,558,1527.0,6973.0,7449,6369,5177,1917,476
623,2024-06-17,North America,2397,101602,88206,13396,30607,16775,309,802.0,1595.0,1701,1262,864,221,30
624,2024-06-17,RO APAC,2820,67600,42445,25155,13066,9050,371,693.0,2127.0,2268,1847,1415,427,59
625,2024-06-24,EU,3157,280461,69524,210937,7314,4418,6,1069.0,2088.0,2129,1633,1155,318,38
626,2024-06-24,Greater China,6122,14197,11005,3192,2454,1685,32,1625.0,4497.0,5070,4245,3250,1537,211
627,2024-06-24,Middle East - GCC,15070,21898,19630,2268,5195,4108,430,3400.0,11670.0,12399,10166,7886,2697,731
628,2024-06-24,North America,4098,108700,95173,13527,33294,18559,305,1909.0,2189.0,2418,1815,1238,259,26
629,2024-06-24,RO APAC,4864,70166,44404,25762,13808,9498,395,1525.0,3339.0,3703,2849,2166,624,60
630,2024-07-01,EU,2579,278951,69048,209903,7558,4347,8,792.0,1787.0,1889,1367,972,305,35
631,2024-07-01,Greater China,4445,20511,15532,4979,3556,2137,33,1145.0,3300.0,3819,3321,2697,1172,168
632,2024-07-01,Middle East - GCC,11788,22362,19962,2400,5614,4486,514,2209.0,9579.0,10270,8816,7139,2611,579
633,2024-07-01,North America,3006,102653,89469,13184,28990,15828,239,1053.0,1953.0,2033,1564,1025,262,14
634,2024-07-01,RO APAC,3602,68639,43264,25375,13225,9246,384,1060.0,2542.0,2721,2199,1636,576,43
635,2024-07-08,EU,2719,300449,81573,218876,8255,4812,-2,713.0,2006.0,2021,1569,1160,333,36
636,2024-07-08,Greater China,4361,21943,16224,5719,3810,2411,46,1078.0,3283.0,3824,3253,2540,1020,153
637,2024-07-08,Middle East - GCC,12526,27345,24162,3183,6572,4996,591,2026.0,10500.0,11294,9761,7762,2757,599
638,2024-07-08,North America,2856,94860,82838,12022,28546,16758,323,1101.0,1755.0,1970,1471,1027,207,37
639,2024-07-08,RO APAC,3668,70838,42976,27862,12737,9118,383,917.0,2751.0,2874,2372,1675,470,95
640,2024-07-15,EU,3276,293682,78482,215200,7435,4425,-2,1204.0,2072.0,2172,1583,1162,318,54
641,2024-07-15,Greater China,7141,24217,18700,5517,4375,2702,34,2487.0,4654.0,5408,4428,3356,1516,277
642,2024-07-15,Middle East - GCC,15428,28003,24787,3216,7175,5471,499,2949.0,12479.0,13426,11507,9100,3186,760
643,2024-07-15,North America,3688,98101,87010,11091,26819,15428,326,1519.0,2169.0,2416,1818,1152,235,40
644,2024-07-15,RO APAC,4154,71741,44573,27168,12390,8763,378,1260.0,2894.0,3139,2441,1761,566,91
645,2024-07-22,EU,1803,282934,77194,205740,6498,3997,4,507.0,1296.0,1326,1031,782,168,10
646,2024-07-22,Greater China,3553,25967,19900,6067,4119,2499,28,936.0,2617.0,3083,2651,2075,922,147
647,2024-07-22,Middle East - GCC,13690,27083,24072,3011,7614,5898,611,2241.0,11449.0,12304,10496,8213,3027,637
648,2024-07-22,North America,2120,91226,81593,9633,25365,15360,264,809.0,1311.0,1545,1105,777,213,19
649,2024-07-22,RO APAC,2511,66268,42101,24167,11622,7967,267,661.0,1850.0,2055,1723,1285,394,66
650,2024-07-29,EU,1682,273131,74119,199012,5418,3503,4,441.0,1241.0,1247,961,753,231,30
651,2024-07-29,Greater China,3446,24194,18832,5362,3631,2206,30,928.0,2518.0,3056,2615,2125,1056,135
652,2024-07-29,Middle East - GCC,16171,26841,23947,2894,7204,5306,470,2941.0,13230.0,14514,12521,9786,3511,761
653,2024-07-29,North America,2051,85630,75808,9822,21595,12585,204,681.0,1370.0,1584,1235,837,301,65
654,2024-07-29,RO APAC,2080,61724,38594,23130,9858,6594,233,556.0,1524.0,1679,1377,977,267,44
655,2024-08-05,EU,1605,275925,71629,204296,5501,3176,11,348.0,1257.0,1292,990,774,250,30
656,2024-08-05,Greater China,2835,23916,18176,5740,3534,2104,11,861.0,1974.0,2530,2160,1771,902,75
657,2024-08-05,Middle East - GCC,17058,28995,25390,3605,7748,5659,516,3224.0,13834.0,15437,13412,10370,3637,822
658,2024-08-05,North America,1705,81856,72873,8983,19849,11503,230,661.0,1044.0,1211,889,576,160,58
659,2024-08-05,RO APAC,1770,65889,36620,29269,9512,6230,241,486.0,1284.0,1484,1215,913,287,86
660,2024-08-12,EU,1603,272361,71084,201277,5309,2917,0,452.0,1151.0,1196,925,706,192,8
661,2024-08-12,Greater China,3012,19078,14407,4671,2766,1809,31,855.0,2157.0,2615,2347,1885,874,87
662,2024-08-12,Middle East - GCC,20166,23707,20037,3670,5801,4345,310,4200.0,15966.0,18100,15548,12115,4025,888
663,2024-08-12,North America,1813,80852,72964,7888,18463,10336,199,634.0,1179.0,1334,1046,731,207,25
664,2024-08-12,RO APAC,1564,64512,35091,29421,9380,6004,205,523.0,1041.0,1157,967,775,273,64
665,2024-08-19,EU,1782,296208,71966,224242,5743,3156,13,487.0,1295.0,1411,1165,890,222,33
666,2024-08-19,Greater China,2962,13774,10433,3341,2021,1393,17,836.0,2126.0,2629,2301,1897,843,61
667,2024-08-19,Middle East - GCC,20238,20521,17306,3215,4385,3325,272,4052.0,16186.0,18345,15523,12293,4478,1053
668,2024-08-19,North America,1690,105983,95220,10763,25441,13836,189,690.0,1000.0,1170,893,649,218,12
669,2024-08-19,RO APAC,1454,59684,33266,26418,9353,6124,201,438.0,1016.0,1138,936,642,263,63
670,2024-08-26,EU,1851,257870,65286,192584,4520,2703,0,511.0,1340.0,1444,1137,912,235,6
671,2024-08-26,Greater China,2775,9951,7384,2567,1844,1236,31,802.0,1973.0,2492,2217,1738,796,93
672,2024-08-26,Middle East - GCC,18315,16739,14106,2633,3517,2778,257,3439.0,14876.0,16622,14241,11215,4196,1089
673,2024-08-26,North America,1588,80983,72737,8246,19774,11002,198,633.0,955.0,1173,883,586,164,9
674,2024-08-26,RO APAC,1288,48671,27977,20694,8974,6141,247,411.0,877.0,1041,873,720,342,145
675,2024-09-02,EU,1742,246932,59809,187123,5460,3644,6,516.0,1226.0,1389,1116,802,250,31
676,2024-09-02,Greater China,2932,10089,7611,2478,2479,1660,29,782.0,2150.0,2625,2328,1876,932,97
677,2024-09-02,Middle East - GCC,12211,14347,11895,2452,3925,3297,286,2575.0,9636.0,11029,9596,7585,3086,791
678,2024-09-02,North America,1593,76706,69322,7384,22927,13475,205,622.0,971.0,1161,825,609,162,16
679,2024-09-02,RO APAC,1776,50140,30099,20041,11638,8658,410,604.0,1172.0,1473,1294,941,424,186
680,2024-09-09,EU,2037,250103,68222,181881,6336,4125,4,554.0,1483.0,1608,1291,1019,274,17
681,2024-09-09,Greater China,3029,11101,8711,2390,2099,1398,24,766.0,2263.0,2759,2459,1938,863,132
682,2024-09-09,Middle East - GCC,9858,16799,14330,2469,4347,3567,363,1905.0,7953.0,8970,7825,6328,2497,584
683,2024-09-09,North America,1622,83282,74943,8339,27057,15808,288,616.0,1006.0,1199,898,606,139,15
684,2024-09-09,RO APAC,1788,60911,35832,25079,12873,8916,336,485.0,1303.0,1501,1277,1005,386,103
685,2024-09-16,EU,2115,247544,70002,177542,6172,4216,15,647.0,1468.0,1638,1259,974,353,42
686,2024-09-16,Greater China,3026,12273,9649,2624,2184,1549,12,770.0,2256.0,2759,2488,2010,929,125
687,2024-09-16,Middle East - GCC,8124,20149,17260,2889,4969,4144,408,1667.0,6457.0,7208,6202,4879,2130,417
688,2024-09-16,North America,1779,85343,76393,8950,26317,15378,228,651.0,1128.0,1298,988,708,189,18
689,2024-09-16,RO APAC,2101,65223,43146,22077,13694,9178,389,588.0,1513.0,1754,1530,1157,373,132
690,2024-09-23,EU,2382,235661,69795,165866,6526,4503,5,724.0,1658.0,1864,1467,1056,276,25
691,2024-09-23,Greater China,3523,11190,8808,2382,2487,1782,36,1025.0,2498.0,3151,2805,2295,1004,139
692,2024-09-23,Middle East - GCC,8965,22017,19101,2916,5365,4405,502,2069.0,6896.0,7906,6559,5024,2022,499
693,2024-09-23,North America,1695,83571,75522,8049,25762,15148,310,721.0,974.0,1177,824,631,160,26
694,2024-09-23,RO APAC,2144,56053,37715,18338,12457,8589,305,690.0,1454.0,1774,1480,1094,401,98
695,2024-09-30,EU,3318,217542,63616,153926,6184,4186,7,1168.0,2150.0,2397,1908,1397,330,34
696,2024-09-30,Greater China,5143,13629,10341,3288,2664,1920,20,1559.0,3584.0,4465,3892,3069,1273,176
697,2024-09-30,Middle East - GCC,10567,16223,13997,2226,4057,3391,367,2591.0,7976.0,9179,7739,5766,2234,490
698,2024-09-30,North America,2628,73185,66752,6433,22625,13604,220,1213.0,1415.0,1754,1322,941,205,56
699,2024-09-30,RO APAC,3382,44677,30387,14290,9917,7073,279,1352.0,2030.0,2461,2044,1502,490,77
700,2024-10-07,EU,2543,245426,77304,168122,6701,4289,1,797.0,1746.0,1995,1536,1189,281,26
701,2024-10-07,Greater China,4264,10413,7963,2450,1726,1244,15,1364.0,2900.0,3825,3355,2727,1168,158
702,2024-10-07,Middle East - GCC,7685,16376,14217,2159,4240,3569,370,1632.0,6053.0,6828,5798,4396,1950,426
703,2024-10-07,North America,1771,78668,72427,6241,24092,13769,258,748.0,1023.0,1265,978,698,233,87
704,2024-10-07,RO APAC,2016,48042,28748,19294,8767,6369,254,617.0,1399.0,1694,1341,1005,291,51
705,2024-10-14,EU,2626,236497,78296,158201,6926,4735,12,776.0,1850.0,2065,1620,1203,340,35
706,2024-10-14,Greater China,3797,7162,5769,1393,1108,812,23,1170.0,2627.0,3408,3004,2384,1140,151
707,2024-10-14,Middle East - GCC,7370,16669,14218,2451,4607,3791,378,1721.0,5649.0,6594,5536,4193,1577,322
708,2024-10-14,North America,1862,81209,75633,5576,23868,13635,254,718.0,1144.0,1361,1072,722,201,36
709,2024-10-14,RO APAC,1793,42396,27046,15350,8352,6061,234,510.0,1283.0,1440,1157,878,330,32
710,2024-10-21,EU,2501,230977,77608,153369,6242,4146,3,752.0,1749.0,1901,1478,1081,328,23
711,2024-10-21,Greater China,3640,6516,5136,1380,1043,741,11,944.0,2696.0,3354,3055,2417,1147,155
712,2024-10-21,Middle East - GCC,7891,15049,12678,2371,4534,3732,372,1798.0,6093.0,7167,6019,4402,1666,484
713,2024-10-21,North America,1861,67404,63105,4299,20325,12103,334,804.0,1057.0,1325,982,646,166,40
714,2024-10-21,RO APAC,1893,37679,23781,13898,6882,4887,181,506.0,1387.0,1542,1318,1052,366,84
715,2024-10-28,EU,2701,240839,88728,152111,7567,4886,4,951.0,1750.0,2084,1641,1182,310,26
716,2024-10-28,Greater China,3436,5597,4576,1021,770,592,7,1145.0,2291.0,3116,2775,2248,947,143
717,2024-10-28,Middle East - GCC,8164,17281,14800,2481,4286,3534,319,1836.0,6328.0,7229,5923,4371,1706,397
718,2024-10-28,North America,1489,52469,49531,2938,14267,8570,235,591.0,898.0,1061,808,557,169,20
719,2024-10-28,RO APAC,1576,32742,21910,10832,5804,4188,156,452.0,1124.0,1300,1090,868,298,29
720,2024-11-04,EU,3974,213912,73605,140307,6196,4335,1,1786.0,2188.0,2502,1840,1331,415,38
721,2024-11-04,Greater China,4821,4838,4285,553,787,584,7,1486.0,3335.0,4289,3845,3173,1453,194
722,2024-11-04,Middle East - GCC,9561,14551,12568,1983,4305,3700,374,2623.0,6938.0,8138,6659,4922,1533,358
723,2024-11-04,North America,1990,40920,39010,1910,14968,9198,242,856.0,1134.0,1355,985,673,173,27
724,2024-11-04,RO APAC,2120,31047,22484,8563,7054,5068,210,728.0,1392.0,1585,1335,1117,473,91
725,2024-11-11,EU,2646,204220,75927,128293,6162,4318,15,966.0,1680.0,1962,1529,1124,245,12
726,2024-11-11,Greater China,3673,4954,4284,670,863,625,11,1162.0,2511.0,3356,3009,2435,1135,140
727,2024-11-11,Middle East - GCC,8079,22872,20451,2421,5562,4436,402,1840.0,6239.0,7012,5702,4373,1597,363
728,2024-11-11,North America,1827,55261,52905,2356,18576,11569,262,768.0,1059.0,1331,909,584,179,18
729,2024-11-11,RO APAC,1597,32974,25355,7619,7594,5433,181,448.0,1149.0,1293,1118,851,378,100
730,2024-11-18,EU,2742,208254,77910,130344,6864,4593,6,830.0,1912.0,2014,1593,1214,303,23
731,2024-11-18,Greater China,3810,5050,4326,724,829,591,10,1128.0,2682.0,3421,3047,2488,1137,155
732,2024-11-18,Middle East - GCC,7881,19398,17389,2009,4845,3962,398,1995.0,5886.0,6734,5533,4100,1415,276
733,2024-11-18,North America,1866,52310,50108,2202,18196,11749,266,815.0,1051.0,1315,1016,679,188,18
734,2024-11-18,RO APAC,1596,31118,23976,7142,7273,5196,205,470.0,1126.0,1321,1168,902,349,108
735,2024-11-25,EU,3157,205733,76866,128867,6593,4730,9,1115.0,2042.0,2326,1800,1361,291,14
736,2024-11-25,Greater China,4720,5240,4540,700,806,587,8,1374.0,3346.0,4342,3969,3166,1385,220
737,2024-11-25,Middle East - GCC,8586,21842,20061,1781,5626,4605,465,2431.0,6155.0,7209,5873,4238,1473,287
738,2024-11-25,North America,2018,61795,59438,2357,19282,11620,245,841.0,1177.0,1496,1091,796,234,21
739,2024-11-25,RO APAC,1842,32822,24878,7944,7097,5106,235,533.0,1309.0,1538,1347,1075,381,71
740,2024-12-02,EU,4681,217650,85526,132124,7439,5354,12,2234.0,2447.0,2762,2114,1556,481,42
741,2024-12-02,Greater China,6169,4715,4007,708,734,531,7,2030.0,4139.0,5404,4784,3801,1672,197
742,2024-12-02,Middle East - GCC,12244,24098,21935,2163,6100,4723,493,3611.0,8633.0,9874,7741,5716,1848,363
743,2024-12-02,North America,3027,55311,53042,2269,17782,10889,248,1363.0,1664.0,1983,1467,1010,330,56
744,2024-12-02,RO APAC,2490,33379,25377,8002,6985,5058,214,808.0,1682.0,1931,1632,1309,526,173
